scenario,protocol,loss_rate,reorder_rate,delay_ms,message_count,payload_size,repeat_id,delivery_success_rate,recovery_success_rate,memory_match_rate,attack_detection_rate,avg_recovery_latency_ms,extra_messages,extra_bytes,throughput_score,recovery_mode
controlled_weak_network_simulation,seq_mac,0.0,0.03,50,1000,128,3,0.9855,0.8888,0.0,0.912,52.6,31,3008,0.943,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,50,1000,512,1,0.9895,0.8888,0.0,0.912,52.6,31,3008,0.943,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,50,1000,512,2,0.9875,0.8888,0.0,0.912,52.6,31,3008,0.943,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,50,1000,512,3,0.9855,0.8888,0.0,0.912,52.6,31,3008,0.943,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,100,100,128,1,0.9895,0.8408,0.0,0.912,102.06,4,416,0.913,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,100,100,128,2,0.9875,0.8408,0.0,0.912,102.06,4,416,0.913,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,100,100,128,3,0.9855,0.8408,0.0,0.912,102.06,4,416,0.913,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,100,100,512,1,0.9895,0.8408,0.0,0.912,102.06,4,416,0.913,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,100,100,512,2,0.9875,0.8408,0.0,0.912,102.06,4,416,0.913,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,100,100,512,3,0.9855,0.8408,0.0,0.912,102.06,4,416,0.913,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,100,500,128,1,0.9895,0.8408,0.0,0.912,102.3,16,1568,0.913,seq_resync
